experiment,condition,topology,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,work_units,work_units_ci_low,work_units_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high,recovered,recovered_ci_low,recovered_ci_high
E4_verification_ablation,verify=both;recovery=retry,hierarchical,120,60,0.9583333333333334,0.925,0.9916666666666667,0.025,0.004166666666666667,0.05,0.008333333333333333,0.0,0.025,9.452499999999999,9.34874375,9.558256250000005,47.48319499918292,46.32124796798376,48.66780571042649,0.9083333333333333,0.8583333333333333,0.9583333333333334
E4_verification_ablation,verify=both;recovery=retry,parallel,120,60,0.9166666666666666,0.8583333333333333,0.9666666666666667,0.06666666666666667,0.025,0.10833333333333334,0.06666666666666667,0.025,0.10833333333333334,7.04375,6.9667375,7.121512499999999,32.82940524759745,31.992929581310825,33.728799542675944,0.85,0.7833333333333333,0.9083333333333333
E4_verification_ablation,verify=both;recovery=retry,sequential,120,60,0.9833333333333333,0.9583333333333334,1.0,0.016666666666666666,0.005555555555555555,0.030555555555555555,0.0,0.0,0.0,5.911249999999999,5.84949375,5.971249999999999,56.74605481302107,55.81375897070683,57.80772703124198,0.9333333333333333,0.8916666666666667,0.975
E4_verification_ablation,verify=both;recovery=retry,single,120,60,1.0,1.0,1.0,0.01944444444444444,0.005555555555555555,0.03888888888888888,0.0,0.0,0.0,5.923749999999999,5.855499999999998,5.997749999999998,57.382092880244436,56.114879882902486,58.596076688421064,0.9333333333333333,0.8916666666666667,0.975
E4_verification_ablation,verify=final;recovery=retry,hierarchical,120,60,0.6416666666666667,0.5666666666666667,0.7166666666666667,0.6416666666666667,0.5875,0.6958333333333333,0.35833333333333334,0.2833333333333333,0.43354166666666555,8.90875,8.8479875,8.968006250000002,43.58051572097654,42.641804479766115,44.49181879376536,0.5166666666666667,0.44166666666666665,0.5916666666666667
E4_verification_ablation,verify=final;recovery=retry,parallel,120,60,0.6166666666666667,0.5333333333333333,0.6916666666666667,0.36666666666666664,0.2833333333333333,0.45,0.36666666666666664,0.2916666666666667,0.44166666666666665,6.675,6.61274375,6.7370125,31.193891173807963,30.26858182594565,32.13414058000416,0.5583333333333333,0.475,0.65
E4_verification_ablation,verify=final;recovery=retry,sequential,120,60,0.6083333333333333,0.5333333333333333,0.6833333333333333,0.7444444444444442,0.6972222222222224,0.7861111111111111,0.39166666666666666,0.31666666666666665,0.4666666666666667,5.523749999999999,5.462974999999999,5.583256249999998,52.353990582373704,51.1065139850824,53.61183341728445,0.5166666666666667,0.44166666666666665,0.6
E4_verification_ablation,verify=final;recovery=retry,single,120,60,0.5833333333333334,0.48333333333333334,0.675,0.7666666666666665,0.7166666666666667,0.813958333333333,0.4166666666666667,0.31666666666666665,0.525,5.523749999999999,5.455749999999998,5.588506249999998,51.96356541849306,50.880665527949674,53.06074956163269,0.5166666666666667,0.425,0.6083333333333333
E4_verification_ablation,verify=local;recovery=retry,hierarchical,120,60,0.9833333333333333,0.9583333333333334,1.0,0.016666666666666666,0.004166666666666667,0.03333333333333333,0.0,0.0,0.0,9.415,9.308231249999995,9.527,45.514554267235674,44.088429471324126,47.05565097137437,0.8916666666666667,0.8333333333333334,0.9416666666666667
E4_verification_ablation,verify=local;recovery=retry,parallel,120,60,0.9166666666666666,0.8666666666666667,0.9585416666666655,0.06666666666666667,0.025,0.11666666666666667,0.06666666666666667,0.025,0.11666666666666667,7.1375,7.035481249999999,7.244999999999999,33.93012861514341,32.87162811194493,34.962968092651096,0.8583333333333333,0.8,0.9166666666666666
E4_verification_ablation,verify=local;recovery=retry,sequential,120,60,0.9666666666666667,0.9333333333333333,0.9916666666666667,0.027777777777777776,0.01111111111111111,0.047222222222222214,0.0,0.0,0.0,6.0737499999999995,5.986,6.166756249999998,59.24608980094131,57.92629879327204,60.70160796000894,0.9333333333333333,0.8916666666666667,0.975
