topology,fault_type,fault_severity,fault_position,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,amplification,amplification_ci_low,amplification_ci_high,propagation_depth,propagation_depth_ci_low,propagation_depth_ci_high,work_units,work_units_ci_low,work_units_ci_high
hierarchical,wrong_value,2.0,early,115,60,0.017391304347826087,0.0,0.041666666666666664,0.991304347826087,0.9791666666666666,1.0,0.9826086956521739,0.9583333333333334,1.0,1.982608695652174,1.9583333333333333,2.0,1.982608695652174,1.9583333333333333,2.0,8.43895652173913,8.415949999999999,8.466000000000001
hierarchical,wrong_value,2.0,late,115,60,0.008695652173913044,0.0,0.025,0.0,0.0,0.0,0.991304347826087,0.975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43791304347826,8.415949999999999,8.466000000000001
hierarchical,wrong_value,2.0,middle,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.437894736842104,8.416,8.464
parallel,referential_drift,1.0,early,110,60,0.06363636363636363,0.016666666666666666,0.13333333333333333,0.9363636363636364,0.8666666666666667,0.9833333333333333,0.9363636363636364,0.8666666666666667,0.9833333333333333,0.9363636363636364,0.8747916666666666,0.9833333333333333,0.9363636363636364,0.8666666666666667,0.9833333333333333,6.200000000000004,6.175999999999999,6.225999999999999
parallel,referential_drift,1.0,late,111,59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198918918918922,6.175593220338983,6.226440677966101
parallel,referential_drift,1.0,middle,116,60,0.09482758620689655,0.03333333333333333,0.16666666666666666,0.9051724137931034,0.8416666666666667,0.9666666666666667,0.9051724137931034,0.8333333333333334,0.9666666666666667,0.9051724137931034,0.8333333333333334,0.9666666666666667,0.9051724137931034,0.8416666666666667,0.9666666666666667,6.202068965517244,6.175999999999999,6.223999999999999
parallel,referential_drift,2.0,early,113,60,0.08849557522123894,0.041666666666666664,0.16666666666666666,0.8849557522123894,0.8083333333333333,0.9416666666666667,0.8849557522123894,0.8083333333333333,0.9416666666666667,0.8849557522123894,0.8,0.9416666666666667,0.8849557522123894,0.8,0.9333333333333333,6.200000000000001,6.175999999999999,6.225999999999999
parallel,referential_drift,2.0,late,116,60,0.05172413793103448,0.016666666666666666,0.10833333333333334,0.0,0.0,0.0,0.9482758620689655,0.8916666666666667,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.200000000000002,6.175999999999999,6.223999999999999
parallel,referential_drift,2.0,middle,114,60,0.14912280701754385,0.075,0.20833333333333334,0.8508771929824561,0.7916666666666666,0.925,0.8508771929824561,0.7916666666666666,0.925,0.8508771929824561,0.7916666666666666,0.9166666666666666,0.8508771929824561,0.7833333333333333,0.9166666666666666,6.196842105263159,6.175999999999999,6.223999999999999
parallel,timeout,1.0,early,111,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.202162162162166,6.175999999999999,6.223999999999999
